lipid_target,15JAN2021 WA COVID-LTR_1,15JAN2021 WA COVID-LTR_10,15JAN2021 WA COVID-LTR_11,15JAN2021 WA COVID-LTR_12,15JAN2021 WA COVID-LTR_13,15JAN2021 WA COVID-LTR_14,15JAN2021 WA COVID-LTR_15,15JAN2021 WA COVID-LTR_16,15JAN2021 WA COVID-LTR_17,15JAN2021 WA COVID-LTR_18,15JAN2021 WA COVID-LTR_19,15JAN2021 WA COVID-LTR_2,15JAN2021 WA COVID-LTR_20,15JAN2021 WA COVID-LTR_21,15JAN2021 WA COVID-LTR_22,15JAN2021 WA COVID-LTR_23,15JAN2021 WA COVID-LTR_3,15JAN2021 WA COVID-LTR_4,15JAN2021 WA COVID-LTR_5,15JAN2021 WA COVID-LTR_6,15JAN2021 WA COVID-LTR_7,15JAN2021 WA COVID-LTR_8,15JAN2021 WA COVID-LTR_9
TAG(56:4_FA20:1),0.499027895,0.591890164,0.5884721,0.606940032,0.534032236,0.564631921,0.559630116,0.529985564,0.512309463,0.566688559,0.592100538,0.510819625,0.546257822,0.575191298,0.486104726,0.529650551,0.569480908,0.547940342,0.513330671,0.499061261,0.537074373,0.505513199,0.519060779
TAG(56:4_FA20:2),0.455820589,0.55534324,0.515018132,0.522189586,0.483351873,0.500336548,0.491824189,0.436608519,0.472022372,0.535713659,0.532938208,0.454997944,0.511584422,0.502981165,0.454118286,0.486175928,0.507281567,0.478629912,0.477543983,0.489077508,0.489438749,0.473232331,0.482038964
TAG(56:4_FA20:3),0.438088555,0.512793117,0.488640643,0.487503171,0.455924112,0.472509184,0.483113328,0.425199372,0.434075458,0.507853987,0.501235892,0.449242445,0.468449193,0.46623945,0.431307176,0.473637614,0.475726644,0.464194057,0.449761282,0.466874036,0.473469863,0.469049674,0.460220144
TAG(56:4_FA20:4),0.103727035,0.112206075,0.114536574,0.111160719,0.113966649,0.109938609,0.103498614,0.108483592,0.109568355,0.123714098,0.119171189,0.10811074,0.118810609,0.119601776,0.109962276,0.115005728,0.104692396,0.10981645,0.10492763,0.105446128,0.105388798,0.107357949,0.113041508
TAG(56:4_FA22:4),0.034806736,0.040267493,0.039151453,0.038072228,0.036831458,0.037919731,0.036175854,0.03667779,0.037031517,0.042436984,0.039877695,0.036182077,0.037440948,0.041393424,0.037493649,0.037584799,0.038050571,0.036381308,0.03749311,0.037480099,0.036272804,0.038241006,0.034280243
TAG(56:5_FA16:0),0.245153073,0.298594788,0.282852711,0.275118623,0.284410487,0.261676922,0.267960259,0.246305415,0.261546602,0.293591451,0.25829196,0.277207935,0.267800302,0.261978793,0.256983741,0.262895671,0.278463382,0.262322543,0.262969898,0.254844097,0.263095892,0.263240066,0.242657707
TAG(56:5_FA18:0),0.104526922,0.113620534,0.115159323,0.115221402,0.117186134,0.110385222,0.110626171,0.10308044,0.103119163,0.11043337,0.11551573,0.10693951,0.110880245,0.114407198,0.113097076,0.109647243,0.106216148,0.109422863,0.112138012,0.109560819,0.104081944,0.105992124,0.106813716
TAG(56:5_FA18:1),0.309943692,0.362280461,0.32089246,0.344549554,0.324676276,0.325042622,0.327204714,0.311654841,0.314871212,0.36529008,0.340409776,0.351562783,0.311936608,0.331965938,0.316441044,0.30934245,0.329520832,0.331546633,0.338839748,0.321607385,0.342947381,0.337140406,0.277543114
TAG(56:5_FA18:2),0.23820309,0.277203407,0.277347911,0.267158522,0.288279473,0.275702567,0.264359275,0.297098877,0.278542724,0.288926537,0.288947178,0.281743171,0.267201355,0.277134355,0.272044492,0.281793641,0.28552468,0.282528264,0.275156163,0.278662519,0.265778814,0.254359787,0.254008214
TAG(56:5_FA20:1),0.202671649,0.23143062,0.249276822,0.223752187,0.213410523,0.222915527,0.226301647,0.199073643,0.210857071,0.243108472,0.226520229,0.211295592,0.223528698,0.231802649,0.199619856,0.223584035,0.217236408,0.217190005,0.205426572,0.226222318,0.235089601,0.210629577,0.218233723
