lipid,p value,95% CI lower,95% CI upper,effect size,SARS-CoV-2 (-) median concentration,SARS-CoV-2 (+) median concentration,median concentration difference,BH q value
CE(20:3),0.27,-0.53,2,0.2,3.1,2.7,-0.4,0.5857974683544305
DAG(14:0_18:1),0.25,-0.16,0.85,0.2,0.9,0.51,-0.39,0.5713333333333334
DAG(18:2_20:5),0.27,-0.32,0.96,0.2,1.3,1.2,-0.1,0.5857974683544305
LPC(20:5),0.27,-0.0043,0.019,0.2,0.028,0.024,-0.004,0.5857974683544305
LPG(18:1),0.25,-9e-4,0.003,0.2,0.0069,0.0056,-0.0013,0.5713333333333334
LPI(20:4),0.27,-0.0044,0.0011,0.2,0.011,0.014,0.003,0.5857974683544305
PC(18:0_20:4),0.27,-2.2,0.71,0.2,4.3,4.8,0.5,0.5857974683544305
PC(18:1_22:5),0.27,-0.058,0.22,0.2,0.41,0.39,-0.02,0.5857974683544305
PE(O-18:0_16:0),0.25,-0.0054,0.0016,0.2,0.012,0.014,0.002,0.5713333333333334
PE(P-16:0_16:1),0.27,-0.0026,0.01,0.2,0.016,0.014,-0.002,0.5857974683544305
PG(20:0_16:1),0.27,-0.0016,0.0064,0.2,0.014,0.011,-0.003,0.5857974683544305
TAG(46:1_FA14:0),0.25,-0.12,0.96,0.2,0.65,0.3,-0.35,0.5713333333333334
TAG(46:2_FA14:0),0.25,-0.042,0.37,0.2,0.24,0.11,-0.13,0.5713333333333334
TAG(48:2_FA18:1),0.27,-0.3,1.1,0.2,1.2,0.83,-0.37,0.5857974683544305
TAG(48:3_FA16:0),0.27,-0.076,0.47,0.2,0.3,0.19,-0.11,0.5857974683544305
TAG(48:4_FA16:0),0.27,-0.0079,0.067,0.2,0.047,0.02,-0.027,0.5857974683544305
TAG(50:1_FA14:0),0.27,-0.042,0.26,0.2,0.2,0.13,-0.07,0.5857974683544305
TAG(50:3_FA14:0),0.25,-0.44,1.3,0.2,2,1.2,-0.8,0.5713333333333334
TAG(50:4_FA20:3),0.27,-0.024,0.11,0.2,0.087,0.047,-0.04,0.5857974683544305
TAG(52:2_FA14:0),0.25,-0.0039,0.035,0.2,0.032,0.021,-0.011,0.5713333333333334
TAG(52:4_FA20:0),0.27,-0.059,0.13,0.2,0.23,0.16,-0.07,0.5857974683544305
TAG(52:6_FA18:3),0.25,-0.26,0.73,0.2,0.97,0.5,-0.47,0.5713333333333334
TAG(52:6_FA22:6),0.27,-0.059,0.3,0.2,0.15,0.13,-0.02,0.5857974683544305
TAG(54:0_FA16:0),0.27,-0.0082,0.061,0.2,0.029,0.025,-0.004,0.5857974683544305
TAG(54:6_FA18:3),0.25,-0.55,2,0.2,3,1.6,-1.4,0.5713333333333334
TAG(55:5_FA18:2),0.27,-0.0045,0.016,0.2,0.02,0.015,-0.005,0.5857974683544305
TAG(56:6_FA18:3),0.27,-0.015,0.053,0.2,0.077,0.066,-0.011,0.5857974683544305
TAG(58:10_FA20:5),0.27,-0.022,0.082,0.2,0.1,0.072,-0.028,0.5857974683544305
FFA(18:1),0.29,-75,15,0.19,120,130,10,0.6046958637469585
LPE(20:2),0.29,-0.0041,0.014,0.19,0.031,0.023,-0.008,0.6046958637469585
PC(18:0_20:5),0.29,-0.71,2.4,0.19,4.4,3.6,-0.8,0.6046958637469585
PE(18:0_20:1),0.29,-0.21,0.96,0.19,1.6,1.3,-0.3,0.6046958637469585
PI(16:0_18:3),0.29,-0.0094,0.053,0.19,0.062,0.041,-0.021,0.6046958637469585
PI(18:1_16:1),0.29,-0.08,0.26,0.19,0.42,0.27,-0.15,0.6046958637469585
TAG(40:0_FA14:0),0.29,-0.014,0.044,0.19,0.038,0.014,-0.024,0.6046958637469585
TAG(45:1_FA18:1),0.29,-0.0044,0.023,0.19,0.012,0.0099,-0.0021,0.6046958637469585
TAG(48:1_FA18:1),0.29,-0.26,1.2,0.19,1.2,0.74,-0.46,0.6046958637469585
TAG(52:5_FA14:0),0.29,-0.017,0.095,0.19,0.083,0.043,-0.04,0.6046958637469585
TAG(54:5_FA18:2),0.29,-0.77,1.9,0.19,3.3,2.6,-0.7,0.6046958637469585
TAG(54:8_FA20:5),0.29,-0.037,0.12,0.19,0.17,0.12,-0.05,0.6046958637469585
TAG(55:3_FA18:2),0.29,-0.0064,0.035,0.19,0.038,0.024,-0.014,0.6046958637469585
TAG(56:4_FA18:2),0.29,-0.018,0.13,0.19,0.13,0.12,-0.01,0.6046958637469585
TAG(56:9_FA20:5),0.29,-0.024,0.12,0.19,0.16,0.13,-0.03,0.6046958637469585
TAG(58:2_FA18:1),0.29,-0.013,0.082,0.19,0.058,0.049,-0.009,0.6046958637469585
CE(22:6),0.32,-0.64,0.26,0.18,1.4,1.6,0.2,0.6304367816091955
DAG(14:0_14:0),0.3,-0.025,0.083,0.18,0.058,0.061,0.003,0.610688836104513
FFA(18:3),0.32,-0.08,0.23,0.18,4.6,4.5,-0.1,0.6304367816091955
PC(16:0_22:5),0.32,-0.83,2.2,0.18,5.3,4.6,-0.7,0.6304367816091955
PE(16:0_22:5),0.3,-0.12,0.42,0.18,0.57,0.51,-0.06,0.610688836104513
PE(18:0_18:0),0.3,-0.021,0.061,0.18,0.11,0.089,-0.021,0.610688836104513
PE(18:2_20:4),0.32,-0.17,0.31,0.18,0.52,0.4,-0.12,0.6304367816091955
PS(18:0_20:0),0.3,-0.52,1.4,0.18,3,2.6,-0.4,0.610688836104513
SM(16:0),0.3,-0.31,0.61,0.18,6.8,6.5,-0.3,0.610688836104513
TAG(42:1_FA14:0),0.3,-0.012,0.056,0.18,0.027,0.019,-0.008,0.610688836104513
TAG(47:0_FA17:0),0.32,-0.0061,0.033,0.18,0.018,0.014,-0.004,0.6304367816091955
TAG(48:3_FA14:0),0.3,-0.078,0.49,0.18,0.36,0.22,-0.14,0.610688836104513
TAG(50:0_FA14:0),0.3,-0.0087,0.037,0.18,0.021,0.016,-0.005,0.610688836104513
TAG(50:2_FA20:2),0.32,-0.0068,0.058,0.18,0.06,0.025,-0.035,0.6304367816091955
TAG(50:4_FA18:3),0.32,-0.42,1.6,0.18,1.7,1,-0.7,0.6304367816091955
TAG(50:5_FA16:0),0.32,-0.0089,0.05,0.18,0.033,0.02,-0.013,0.6304367816091955
TAG(51:5_FA18:3),0.32,-0.028,0.096,0.18,0.1,0.062,-0.038,0.6304367816091955
TAG(52:6_FA18:1),0.32,-0.01,0.034,0.18,0.043,0.025,-0.018,0.6304367816091955
TAG(53:0_FA16:0),0.3,-0.003,0.019,0.18,0.014,0.0076,-0.0064,0.610688836104513
TAG(53:4_FA18:2),0.3,-0.099,0.33,0.18,0.42,0.32,-0.1,0.610688836104513
TAG(54:5_FA20:4),0.32,-2.2,0.68,0.18,3.8,4.1,0.3,0.6304367816091955
TAG(55:1_FA18:1),0.32,-0.0032,0.014,0.18,0.014,0.0096,-0.0044,0.6304367816091955
TAG(56:8_FA20:5),0.32,-0.087,0.35,0.18,0.51,0.46,-0.05,0.6304367816091955
TAG(58:8_FA18:1),0.32,-0.094,0.039,0.18,0.097,0.12,0.023,0.6304367816091955
DCER(24:1),0.34,-1.4,0.26,0.17,1.2,1.7,0.5,0.6460753880266076
LPI(16:0),0.34,-0.0012,0.0028,0.17,0.0045,0.004,-5e-4,0.6460753880266076
TAG(44:2_FA16:1),0.34,-0.0063,0.035,0.17,0.013,0.0097,-0.0033,0.6460753880266076
TAG(46:3_FA16:1),0.34,-0.0082,0.031,0.17,0.027,0.02,-0.007,0.6460753880266076
TAG(50:3_FA18:2),0.34,-1,1.7,0.17,3.8,3,-0.8,0.6460753880266076
TAG(50:3_FA18:3),0.34,-0.41,1.4,0.17,1.4,0.93,-0.47,0.6460753880266076
TAG(50:3_FA20:3),0.34,-0.034,0.21,0.17,0.19,0.092,-0.098,0.6460753880266076
TAG(50:4_FA18:1),0.34,-0.053,0.18,0.17,0.21,0.14,-0.07,0.6460753880266076
TAG(51:4_FA18:3),0.34,-0.088,0.24,0.17,0.31,0.19,-0.12,0.6460753880266076
TAG(52:4_FA14:0),0.34,-0.014,0.059,0.17,0.057,0.036,-0.021,0.6460753880266076
TAG(52:5_FA18:2),0.34,-0.83,1.6,0.17,2.2,1.4,-0.8,0.6460753880266076
TAG(52:5_FA18:3),0.34,-1.2,3,0.17,5,3.3,-1.7,0.6460753880266076
TAG(52:5_FA20:5),0.34,-0.093,0.48,0.17,0.47,0.26,-0.21,0.6460753880266076
TAG(52:6_FA16:1),0.34,-0.039,0.094,0.17,0.13,0.093,-0.037,0.6460753880266076
TAG(52:7_FA22:6),0.34,-0.035,0.11,0.17,0.095,0.064,-0.031,0.6460753880266076
TAG(56:9_FA18:3),0.34,-0.039,0.11,0.17,0.12,0.096,-0.024,0.6460753880266076
CER(16:0),0.38,-0.089,0.022,0.16,0.22,0.23,0.01,0.670082304526749
CER(24:1),0.38,-2.2,0.51,0.16,4.2,5.2,1,0.670082304526749
DAG(16:0_20:4),0.36,-1.1,0.55,0.16,1.6,1.6,0,0.6620600858369098
DAG(16:0_22:5),0.38,-0.53,0.18,0.16,0.61,0.8,0.19,0.670082304526749
DAG(18:1_22:4),0.36,-0.4,0.15,0.16,0.6,0.6,0,0.6620600858369098
DCER(20:0),0.38,-0.12,0.03,0.16,0.23,0.26,0.03,0.670082304526749
FFA(16:0),0.38,-37,12,0.16,71,77,6,0.670082304526749
LCER(24:1),0.38,-0.13,0.33,0.16,0.98,0.86,-0.12,0.670082304526749
LCER(d18:0_24:1),0.36,-0.0022,0.007,0.16,0.018,0.016,-0.002,0.6620600858369098
LPI(16:1),0.36,-0.0019,4.3e-4,0.16,0.0013,0.0018,5e-4,0.6620600858369098
PC(16:0_22:4),0.38,-0.19,0.61,0.16,1.3,1.1,-0.2,0.670082304526749
PS(20:0_22:6),0.38,-0.94,2.3,0.16,4.3,3,-1.3,0.670082304526749
TAG(46:1_FA16:1),0.36,-0.057,0.27,0.16,0.16,0.11,-0.05,0.6620600858369098
TAG(47:0_FA14:0),0.38,-0.012,0.054,0.16,0.027,0.022,-0.005,0.670082304526749
TAG(47:1_FA14:0),0.38,-0.027,0.14,0.16,0.083,0.056,-0.027,0.670082304526749
TAG(47:2_FA14:0),0.38,-0.01,0.057,0.16,0.03,0.022,-0.008,0.670082304526749
TAG(48:0_FA16:0),0.36,-0.4,1.8,0.16,1.4,1,-0.4,0.6620600858369098
TAG(48:2_FA14:0),0.38,-0.45,1.6,0.16,1.4,0.94,-0.46,0.670082304526749
TAG(49:1_FA14:0),0.38,-0.025,0.13,0.16,0.085,0.046,-0.039,0.670082304526749
TAG(49:2_FA14:0),0.36,-0.026,0.12,0.16,0.12,0.051,-0.069,0.6620600858369098
TAG(49:3_FA16:0),0.36,-0.011,0.065,0.16,0.041,0.027,-0.014,0.6620600858369098
TAG(50:2_FA14:0),0.38,-0.55,1.5,0.16,2.2,1.5,-0.7,0.670082304526749
TAG(50:4_FA20:4),0.38,-0.052,0.19,0.16,0.16,0.12,-0.04,0.670082304526749
TAG(51:4_FA18:2),0.36,-0.069,0.26,0.16,0.26,0.17,-0.09,0.6620600858369098
TAG(52:5_FA16:0),0.36,-0.47,1.1,0.16,1.2,0.82,-0.38,0.6620600858369098
TAG(53:2_FA18:2),0.38,-0.021,0.077,0.16,0.058,0.037,-0.021,0.670082304526749
TAG(53:3_FA17:0),0.36,-0.13,0.24,0.16,0.45,0.33,-0.12,0.6620600858369098
TAG(54:3_FA18:3),0.38,-0.014,0.048,0.16,0.041,0.023,-0.018,0.670082304526749
TAG(54:7_FA20:5),0.38,-0.21,0.69,0.16,1,0.75,-0.25,0.670082304526749
TAG(56:4_FA18:1),0.36,-0.06,0.13,0.16,0.25,0.22,-0.03,0.6620600858369098
TAG(56:5_FA20:2),0.36,-0.058,0.13,0.16,0.24,0.23,-0.01,0.6620600858369098
TAG(56:6_FA18:0),0.38,-0.024,0.0077,0.16,0.039,0.043,0.004,0.670082304526749
TAG(56:6_FA22:4),0.36,-0.15,0.043,0.16,0.21,0.25,0.04,0.6620600858369098
TAG(58:6_FA18:1),0.38,-0.059,0.031,0.16,0.085,0.09,0.005,0.670082304526749
TAG(60:10_FA22:6),0.36,-0.045,0.028,0.16,0.066,0.071,0.005,0.6620600858369098
DAG(14:0_22:6),0.41,-0.045,0.097,0.15,0.12,0.087,-0.033,0.6985487077534791
DAG(16:0_16:1),0.41,-1.1,0.61,0.15,1.1,1.2,0.1,0.6985487077534791
DAG(16:1_16:1),0.41,-0.45,0.17,0.15,0.33,0.48,0.15,0.6985487077534791
DAG(18:0_18:2),0.41,-0.92,1.8,0.15,3,2,-1,0.6985487077534791
DAG(18:2_18:3),0.41,-0.71,1.1,0.15,2,1.7,-0.3,0.6985487077534791
PE(18:0_22:6),0.41,-5.4,1.9,0.15,7.2,9,1.8,0.6985487077534791
TAG(47:1_FA18:1),0.41,-0.018,0.087,0.15,0.056,0.035,-0.021,0.6985487077534791
TAG(49:3_FA18:2),0.41,-0.031,0.14,0.15,0.13,0.073,-0.057,0.6985487077534791
TAG(50:1_FA18:0),0.41,-0.083,0.27,0.15,0.26,0.22,-0.04,0.6985487077534791
TAG(50:2_FA18:0),0.41,-0.018,0.061,0.15,0.062,0.054,-0.008,0.6985487077534791
TAG(51:3_FA18:2),0.41,-0.22,0.66,0.15,0.87,0.57,-0.3,0.6985487077534791
TAG(52:3_FA18:2),0.41,-0.95,2.2,0.15,5.7,5.2,-0.5,0.6985487077534791
TAG(52:4_FA20:2),0.41,-0.027,0.063,0.15,0.1,0.079,-0.021,0.6985487077534791
TAG(54:4_FA20:4),0.41,-0.27,0.089,0.15,0.39,0.42,0.03,0.6985487077534791
TAG(54:5_FA18:1),0.41,-0.56,0.97,0.15,2.1,1.6,-0.5,0.6985487077534791
TAG(54:5_FA20:2),0.41,-0.028,0.084,0.15,0.13,0.11,-0.02,0.6985487077534791
TAG(56:4_FA20:1),0.41,-0.075,0.24,0.15,0.37,0.36,-0.01,0.6985487077534791
CE(22:5),0.45,-0.022,0.05,0.14,0.13,0.12,-0.01,0.7154916512059369
DAG(16:1_18:1),0.45,-2.3,1.2,0.14,2.5,2.6,0.1,0.7154916512059369
DAG(18:0_18:3),0.43,-0.52,0.94,0.14,1.4,0.93,-0.47,0.7005893536121673
DAG(18:2_20:3),0.43,-0.41,0.13,0.14,0.36,0.44,0.08,0.7005893536121673
FFA(22:5),0.43,-0.52,0.23,0.14,1,1.2,0.2,0.7005893536121673
LCER(18:0),0.43,-0.0048,0.0088,0.14,0.025,0.024,-0.001,0.7005893536121673
LPE(16:1),0.45,-0.0053,0.0099,0.14,0.012,0.01,-0.002,0.7154916512059369
LPI(18:0),0.45,-0.0056,0.012,0.14,0.033,0.031,-0.002,0.7154916512059369
PC(16:0_16:0),0.45,-0.45,0.68,0.14,3.1,2.8,-0.3,0.7154916512059369
PC(16:1_18:1),0.43,-0.25,0.49,0.14,0.79,0.62,-0.17,0.7005893536121673
PC(18:0_22:6),0.43,-1.3,0.7,0.14,3.1,3.7,0.6,0.7005893536121673
PE(16:0_18:1),0.43,-1,3,0.14,4.6,3.6,-1,0.7005893536121673
PE(18:1_20:4),0.45,-3.8,1.3,0.14,4,5.2,1.2,0.7154916512059369
PE(P-18:0_20:4),0.45,-3.1,11,0.14,17,17,0,0.7154916512059369
PG(18:1_16:1),0.45,-0.013,0.0064,0.14,0.074,0.078,0.004,0.7154916512059369
SM(20:0),0.45,-0.003,0.0054,0.14,0.0088,0.0074,-0.0014,0.7154916512059369
SM(20:1),0.45,-0.15,0.36,0.14,1.1,1,-0.1,0.7154916512059369
TAG(45:1_FA16:0),0.43,-0.0072,0.039,0.14,0.017,0.013,-0.004,0.7005893536121673
TAG(49:0_FA18:0),0.43,-0.012,0.076,0.14,0.037,0.031,-0.006,0.7005893536121673
TAG(50:6_FA20:4),0.45,-0.0081,0.021,0.14,0.03,0.018,-0.012,0.7154916512059369
TAG(51:2_FA18:2),0.43,-0.099,0.48,0.14,0.36,0.22,-0.14,0.7005893536121673
TAG(52:3_FA18:3),0.43,-0.094,0.38,0.14,0.39,0.22,-0.17,0.7005893536121673
TAG(52:3_FA20:1),0.45,-0.018,0.042,0.14,0.081,0.069,-0.012,0.7154916512059369
TAG(52:4_FA18:2),0.43,-0.9,1.9,0.14,5,4.4,-0.6,0.7005893536121673
TAG(52:4_FA18:3),0.43,-2,4.6,0.14,8.3,5.8,-2.5,0.7005893536121673
TAG(52:4_FA22:4),0.43,-0.0072,0.029,0.14,0.032,0.022,-0.01,0.7005893536121673
TAG(52:6_FA20:5),0.43,-0.14,0.67,0.14,0.66,0.33,-0.33,0.7005893536121673
TAG(54:2_FA18:2),0.43,-0.081,0.21,0.14,0.18,0.14,-0.04,0.7005893536121673
TAG(54:3_FA18:2),0.43,-0.58,1.4,0.14,2.3,1.8,-0.5,0.7005893536121673
TAG(54:4_FA18:3),0.43,-0.27,0.62,0.14,0.81,0.56,-0.25,0.7005893536121673
TAG(54:5_FA18:3),0.43,-0.85,2.2,0.14,4.1,3,-1.1,0.7005893536121673
TAG(55:4_FA18:2),0.43,-0.012,0.04,0.14,0.053,0.041,-0.012,0.7005893536121673
TAG(56:5_FA22:4),0.45,-0.39,0.22,0.14,0.61,0.6,-0.01,0.7154916512059369
TAG(56:7_FA20:3),0.43,-0.082,0.11,0.14,0.2,0.17,-0.03,0.7005893536121673
TAG(56:8_FA18:3),0.43,-0.071,0.14,0.14,0.22,0.18,-0.04,0.7005893536121673
TAG(58:9_FA20:4),0.43,-0.26,0.061,0.14,0.22,0.26,0.04,0.7005893536121673
DAG(14:0_20:4),0.48,-0.047,0.13,0.13,0.17,0.12,-0.05,0.7319572953736655
DAG(16:1_22:6),0.48,-0.42,0.18,0.13,0.42,0.54,0.12,0.7319572953736655
DAG(18:1_18:2),0.48,-12,17,0.13,40,33,-7,0.7319572953736655
LPC(16:1),0.48,-0.13,0.27,0.13,0.55,0.51,-0.04,0.7319572953736655
LPE(22:4),0.48,-0.009,0.016,0.13,0.027,0.026,-0.001,0.7319572953736655
PC(18:0_22:5),0.48,-0.44,0.78,0.13,2,1.8,-0.2,0.7319572953736655
PC(18:1_22:4),0.48,-0.015,0.027,0.13,0.075,0.081,0.006,0.7319572953736655
PE(16:0_20:3),0.48,-0.24,0.45,0.13,0.67,0.63,-0.04,0.7319572953736655
PE(16:0_20:4),0.48,-1.4,2.6,0.13,4.4,3.8,-0.6,0.7319572953736655
PG(16:0_16:0),0.48,-0.001,0.0026,0.13,0.0053,0.0035,-0.0018,0.7319572953736655
SM(24:1),0.48,-0.23,0.38,0.13,3.4,3.3,-0.1,0.7319572953736655
TAG(46:2_FA16:1),0.48,-0.049,0.19,0.13,0.14,0.096,-0.044,0.7319572953736655
TAG(48:4_FA16:1),0.48,-0.0096,0.042,0.13,0.04,0.022,-0.018,0.7319572953736655
TAG(52:2_FA20:2),0.48,-0.066,0.21,0.13,0.2,0.17,-0.03,0.7319572953736655
TAG(52:5_FA18:1),0.48,-0.16,0.3,0.13,0.42,0.32,-0.1,0.7319572953736655
TAG(53:3_FA18:2),0.48,-0.2,0.66,0.13,0.73,0.56,-0.17,0.7319572953736655
TAG(54:3_FA18:0),0.48,-0.3,0.68,0.13,1.5,1.3,-0.2,0.7319572953736655
TAG(54:4_FA20:1),0.48,-0.028,0.073,0.13,0.11,0.1,-0.01,0.7319572953736655
TAG(54:5_FA20:5),0.48,-0.034,0.099,0.13,0.11,0.09,-0.02,0.7319572953736655
TAG(54:6_FA20:5),0.48,-0.35,0.99,0.13,1.2,0.92,-0.28,0.7319572953736655
TAG(56:7_FA20:5),0.48,-0.16,0.44,0.13,0.7,0.6,-0.1,0.7319572953736655
TAG(56:8_FA18:2),0.48,-0.17,0.18,0.13,0.27,0.27,0,0.7319572953736655
TAG(58:6_FA20:4),0.48,-0.038,0.008,0.13,0.043,0.06,0.017,0.7319572953736655
DAG(18:1_20:5),0.5,-1.1,2.5,0.12,3.2,2.7,-0.5,0.7504378283712785
FFA(22:6),0.52,-0.93,0.61,0.12,1.6,1.9,0.3,0.7630821917808219
PC(18:0_22:4),0.52,-0.18,0.39,0.12,0.97,0.84,-0.13,0.7630821917808219
PE(18:1_20:1),0.52,-0.21,0.49,0.12,0.99,0.87,-0.12,0.7630821917808219
PE(P-18:0_16:1),0.52,-0.004,0.011,0.12,0.019,0.015,-0.004,0.7630821917808219
PI(16:0_16:0),0.5,-0.48,0.65,0.12,0.78,0.64,-0.14,0.7504378283712785
PI(20:0_18:1),0.5,-0.15,0.33,0.12,1,0.94,-0.06,0.7504378283712785
TAG(47:2_FA18:1),0.52,-0.01,0.036,0.12,0.029,0.018,-0.011,0.7630821917808219
TAG(48:2_FA16:0),0.52,-0.66,1.9,0.12,1.6,1.2,-0.4,0.7630821917808219
TAG(49:2_FA17:0),0.5,-0.0088,0.042,0.12,0.029,0.023,-0.006,0.7504378283712785
TAG(50:0_FA18:0),0.52,-0.18,0.67,0.12,0.64,0.48,-0.16,0.7630821917808219
TAG(52:1_FA20:1),0.52,-0.17,0.55,0.12,0.46,0.41,-0.05,0.7630821917808219
TAG(52:3_FA16:1),0.5,-0.96,0.45,0.12,1.8,2.2,0.4,0.7504378283712785
TAG(52:4_FA18:0),0.52,-0.0058,0.02,0.12,0.024,0.019,-0.005,0.7630821917808219
TAG(52:5_FA16:1),0.5,-0.24,0.38,0.12,0.75,0.56,-0.19,0.7504378283712785
TAG(54:3_FA20:1),0.52,-0.16,0.34,0.12,0.6,0.58,-0.02,0.7630821917808219
TAG(54:4_FA18:2),0.5,-1.1,1.7,0.12,4.5,3.9,-0.6,0.7504378283712785
TAG(55:1_FA16:0),0.5,-0.008,0.029,0.12,0.025,0.017,-0.008,0.7504378283712785
TAG(56:6_FA20:5),0.52,-0.04,0.11,0.12,0.16,0.13,-0.03,0.7630821917808219
TAG(56:8_FA16:1),0.52,-0.022,0.012,0.12,0.03,0.032,0.002,0.7630821917808219
TAG(57:2_FA18:1),0.52,-0.009,0.025,0.12,0.026,0.019,-0.007,0.7630821917808219
TAG(58:8_FA22:6),0.5,-0.82,0.37,0.12,0.9,1.2,0.3,0.7504378283712785
DAG(14:0_20:0),0.55,-0.0063,0.013,0.11,0.026,0.02,-0.006,0.7895309882747069
LCER(18:1),0.55,-0.0028,0.0043,0.11,0.014,0.013,-0.001,0.7895309882747069
PG(18:1_18:2),0.55,-0.0064,0.016,0.11,0.057,0.05,-0.007,0.7895309882747069
TAG(50:5_FA20:4),0.55,-0.032,0.11,0.11,0.093,0.069,-0.024,0.7895309882747069
TAG(51:3_FA18:3),0.55,-0.015,0.087,0.11,0.074,0.041,-0.033,0.7895309882747069
TAG(52:2_FA18:2),0.55,-0.38,1,0.11,1.1,0.78,-0.32,0.7895309882747069
TAG(52:2_FA20:1),0.55,-0.063,0.22,0.11,0.29,0.19,-0.1,0.7895309882747069
TAG(53:4_FA18:3),0.55,-0.06,0.12,0.11,0.2,0.14,-0.06,0.7895309882747069
TAG(54:3_FA20:2),0.55,-0.39,0.68,0.11,1.3,1.1,-0.2,0.7895309882747069
TAG(54:6_FA16:0),0.55,-0.16,0.3,0.11,0.44,0.31,-0.13,0.7895309882747069
TAG(56:7_FA18:0),0.55,-0.0059,0.009,0.11,0.018,0.016,-0.002,0.7895309882747069
TAG(56:7_FA22:4),0.55,-0.021,0.013,0.11,0.035,0.04,0.005,0.7895309882747069
TAG(56:8_FA20:4),0.55,-0.21,0.12,0.11,0.43,0.53,0.1,0.7895309882747069
TAG(45:0_FA14:0),0.58,-0.027,0.045,0.1,0.042,0.037,-0.005,0.8229470198675497
TAG(48:1_FA16:0),0.58,-0.87,2.4,0.1,2.3,1.8,-0.5,0.8229470198675497
TAG(50:5_FA16:1),0.58,-0.02,0.038,0.1,0.043,0.037,-0.006,0.8229470198675497
TAG(51:0_FA16:0),0.58,-0.048,0.17,0.1,0.12,0.089,-0.031,0.8229470198675497
TAG(56:1_FA16:0),0.58,-0.0065,0.019,0.1,0.014,0.011,-0.003,0.8229470198675497
TAG(56:2_FA16:0),0.58,-0.049,0.12,0.1,0.11,0.088,-0.022,0.8229470198675497
TAG(58:5_FA18:1),0.58,-0.021,0.016,0.1,0.029,0.034,0.005,0.8229470198675497
FFA(20:5),0.6,-0.093,0.15,0.095,0.36,0.3,-0.06,0.8388254486133768
PC(16:0_16:1),0.6,-1.9,2.2,0.095,4,2.7,-1.3,0.8388254486133768
TAG(47:0_FA16:0),0.6,-0.087,0.27,0.095,0.17,0.16,-0.01,0.8388254486133768
TAG(49:0_FA17:0),0.6,-0.033,0.12,0.095,0.089,0.066,-0.023,0.8388254486133768
TAG(50:2_FA18:2),0.6,-0.89,1.7,0.095,2.5,2.1,-0.4,0.8388254486133768
TAG(50:4_FA16:0),0.6,-0.16,0.36,0.095,0.31,0.24,-0.07,0.8388254486133768
TAG(53:3_FA16:0),0.6,-0.055,0.1,0.095,0.13,0.1,-0.03,0.8388254486133768
TAG(54:5_FA22:4),0.6,-0.075,0.065,0.095,0.1,0.083,-0.017,0.8388254486133768
TAG(56:7_FA16:1),0.6,-0.021,0.016,0.095,0.034,0.041,0.007,0.8388254486133768
DAG(14:0_16:1),0.63,-0.076,0.13,0.089,0.15,0.12,-0.03,0.8583624801271861
DAG(16:0_18:2),0.63,-3.1,4.6,0.089,9.1,6.7,-2.4,0.8583624801271861
DAG(18:1_18:1),0.63,-28,13,0.089,40,46,6,0.8583624801271861
PE(P-18:1_22:4),0.63,-0.68,0.86,0.089,1.9,1.7,-0.2,0.8583624801271861
PI(20:0_16:1),0.63,-0.11,0.17,0.089,0.36,0.3,-0.06,0.8583624801271861
SM(22:0),0.63,-0.15,0.23,0.089,3.2,3.1,-0.1,0.8583624801271861
TAG(45:0_FA16:0),0.63,-0.029,0.066,0.089,0.052,0.046,-0.006,0.8583624801271861
TAG(49:1_FA17:0),0.63,-0.033,0.11,0.089,0.083,0.074,-0.009,0.8583624801271861
TAG(49:2_FA16:0),0.63,-0.16,0.44,0.089,0.38,0.25,-0.13,0.8583624801271861
TAG(50:0_FA16:0),0.63,-0.63,1.6,0.089,1.4,1.2,-0.2,0.8583624801271861
TAG(50:3_FA18:1),0.63,-0.79,0.88,0.089,1.9,1.6,-0.3,0.8583624801271861
TAG(52:3_FA20:2),0.63,-0.096,0.18,0.089,0.31,0.23,-0.08,0.8583624801271861
TAG(54:2_FA20:2),0.63,-0.029,0.073,0.089,0.075,0.062,-0.013,0.8583624801271861
TAG(54:4_FA16:0),0.63,-0.27,0.54,0.089,0.8,0.59,-0.21,0.8583624801271861
TAG(54:7_FA20:4),0.63,-0.26,0.16,0.089,0.42,0.41,-0.01,0.8583624801271861
TAG(56:4_FA22:4),0.63,-0.013,0.018,0.089,0.017,0.02,0.003,0.8583624801271861
FFA(24:0),0.66,-0.34,0.21,0.082,0.45,0.55,0.1,0.8810280373831777
HCER(16:0),0.66,-0.055,0.095,0.082,0.41,0.37,-0.04,0.8810280373831777
HCER(18:0),0.66,-0.014,0.021,0.082,0.056,0.052,-0.004,0.8810280373831777
PC(16:0_20:4),0.66,-4.6,2.8,0.082,9.8,11,1.2,0.8810280373831777
PS(18:0_18:0),0.66,-13,10,0.082,25,26,1,0.8810280373831777
TAG(52:2_FA18:0),0.66,-0.29,0.51,0.082,0.86,0.77,-0.09,0.8810280373831777
TAG(52:2_FA20:0),0.66,-0.01,0.017,0.082,0.035,0.033,-0.002,0.8810280373831777
TAG(52:5_FA20:3),0.66,-0.085,0.15,0.082,0.24,0.17,-0.07,0.8810280373831777
TAG(53:1_FA16:0),0.66,-0.025,0.087,0.082,0.068,0.049,-0.019,0.8810280373831777
TAG(56:3_FA18:0),0.66,-0.017,0.031,0.082,0.066,0.057,-0.009,0.8810280373831777
