lipid,p value,95% CI lower,95% CI upper,effect size,SARS-CoV-2 (-) median concentration,SARS-CoV-2 (+) median concentration,median concentration difference,BH q value
TAG(54:8_FA20:4),0.98,-0.035,0.034,0.0068,0.055,0.058,0.003,0.9915702479338843
TAG(55:7_FA22:6),0.98,-0.066,0.078,0.0068,0.1,0.1,0,0.9915702479338843
TAG(56:8_FA22:6),0.98,-1.6,1.2,0.0068,2,2.2,0.2,0.9915702479338843
TAG(56:9_FA20:4),0.98,-0.067,0.059,0.0068,0.13,0.13,0,0.9915702479338843
TAG(58:7_FA16:0),0.98,-0.0096,0.022,0.0068,0.017,0.017,0,0.9915702479338843
DAG(18:1_20:2),1,-0.54,0.74,0,1.2,1.2,0,1
TAG(49:1_FA16:1),1,-0.032,0.05,0,0.042,0.046,0.004,1
TAG(51:4_FA20:4),1,-0.02,0.04,0,0.03,0.033,0.003,1
TAG(54:3_FA20:3),1,-0.16,0.15,0,0.32,0.32,0,1
TAG(54:6_FA16:1),1,-0.053,0.051,0,0.1,0.097,-0.003,1
TAG(54:6_FA22:5),1,-0.16,0.21,0,0.35,0.31,-0.04,1
TAG(54:6_FA22:6),1,-0.05,0.051,0,0.072,0.07,-0.002,1
TAG(56:3_FA18:1),1,-0.17,0.16,0,0.37,0.4,0.03,1
TAG(56:7_FA18:1),1,-0.071,0.075,0,0.19,0.17,-0.02,1
TAG(60:11_FA22:5),1,-0.014,0.021,0,0.022,0.024,0.002,1
